GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081018502,Queens,Census Tract 185.02,2981,0.09839151299485153,30297.328593330858,2,993.6666666666666,154.93418480669015,-0.9240255694881555,0
36081016300,Queens,Census Tract 163,3998,0.21824049441934995,18319.2400229713,0,3998.0,1761.1369459452405,0.46758402358971,1
36081016600,Queens,Census Tract 166,4140,0.20287973973840434,20406.1775973203,0,4140.0,2351.8792505413658,0.6342274909556539,1
36081016800,Queens,Census Tract 168,3148,0.21138044287034038,14892.579262552525,0,3148.0,2768.839260747254,0.6080813017231314,1
36081016900,Queens,Census Tract 169,5387,0.23107667526652292,23312.608223165127,0,5387.0,1079.9110646472232,0.3266183486707297,0
36081017000,Queens,Census Tract 170,2527,0.21745786552787702,11620.641975243021,0,2527.0,1217.9916599711266,0.12005695634593133,0
36081066402,Queens,Census Tract 664.02,3482,0.3932456928709748,8854.515289357425,0,3482.0,1501.8175442022277,0.24366699350152862,0
36081017200,Queens,Census Tract 172,1790,0.1910630635505056,9368.63445365426,1,895.0,1012.495737038687,-0.21514952894250128,0
36081017400,Queens,Census Tract 174,2804,0.19057397387729327,14713.446663002573,0,2804.0,1182.4569610489636,0.16474228677524708,0
36081017600,Queens,Census Tract 176,2305,0.18983448447778525,12142.156396614731,0,2305.0,1474.6418242803536,0.20252105467284476,0
36081018000,Queens,Census Tract 180,1515,0.13824104614971547,10959.118454292153,0,1515.0,1128.0094808673518,-0.03044464632155193,0
36081025301,Queens,Census Tract 253.01,3813,0.12719045227655862,29978.665314509155,0,3813.0,1810.407296964816,0.5513477213205463,1
36081018200,Queens,Census Tract 182,2811,0.2607423725176801,10780.756395124827,0,2811.0,1732.3372274546912,0.30246174461182335,0
36081025302,Queens,Census Tract 253.02,3184,0.10502726775355595,30315.936690566705,0,3184.0,1020.7686202180643,0.23528901151648385,0
36081097205,Queens,Census Tract 972.05,3249,0.17609852733286602,18449.89875388711,0,3249.0,781.5988020887528,0.027845063645740003,0
36081066404,Queens,Census Tract 664.04,0,0.9830453135114823,0.0,0,0.0,3875.5323029231354,-2.4104885588716054,0
36081033403,Queens,Census Tract 334.03,4329,0.2547930669084753,16990.258222194985,1,2164.5,940.5128089289956,0.023342546520635107,0
36081033404,Queens,Census Tract 334.04,6406,0.24176332599217612,26496.988216514317,2,2135.3333333333335,664.6904223372109,-0.07782735823486754,0
36081000102,Queens,Census Tract 1.02,6324,0.11295497017668764,55986.91221915959,1,3162.0,526.1666931097269,0.007943788827002732,0
36081053501,Queens,Census Tract 535.01,1249,0.17788238002861362,7021.493639780902,0,1249.0,2085.183203143289,0.16029297173444063,0
36081026502,Queens,Census Tract 265.02,1354,0.06983849639809729,19387.588075806412,0,1354.0,1956.7792367264615,0.3098637649740397,0
36081048301,Queens,Census Tract 483.01,2076,0.08738909051931305,23755.825671869217,0,2076.0,1129.523753401088,0.1591353067178722,0
36081039902,Queens,Census Tract 399.02,1970,0.06360410344097304,30972.84441448393,0,1970.0,605.7299204596784,-0.11440933178689609,0
36047070601,Brooklyn,Census Tract 706.01,2584,0.4609808371600078,5605.439080547042,0,2584.0,1461.1297304505804,0.09588757799877323,0
36047088002,Brooklyn,Census Tract 880.02,1166,0.101051786295007,11538.638184940353,0,1166.0,1973.9996051865148,0.19993989969231687,0
36047070602,Brooklyn,Census Tract 706.02,0,2.0923671653948697,0.0,2,0.0,1998.410328743538,-2.7359519104014094,0
36047006901,Brooklyn,Census Tract 69.01,1724,0.07443425358011885,23161.379567598364,0,1724.0,1080.425162783355,0.09568614280600661,0
36047006902,Brooklyn,Census Tract 69.02,1981,0.10464275688936267,18931.076157468633,0,1981.0,1190.2139379015678,0.13860980705926929,0
36047033701,Brooklyn,Census Tract 337.01,2755,0.0986720453320185,27920.77523811112,0,2755.0,1513.3925471867378,0.38615156275367074,0
36047033702,Brooklyn,Census Tract 337.02,1847,0.09891347786601468,18672.88502889255,0,1847.0,1844.128384479065,0.33734180152414694,0
36047088001,Brooklyn,Census Tract 880.01,1882,0.08142574114873662,23113.084062228405,0,1882.0,2166.716505823705,0.45489010553337755,1
36081018401,Queens,Census Tract 184.01,2048,0.19034321233255044,10759.51159436103,0,2048.0,1242.592066808935,0.0749646411672651,0
36081018700,Queens,Census Tract 187,2968,0.24144889758090726,12292.456208069665,0,2968.0,1739.6167389344464,0.33675222694140067,0
